,,,,,,,,,,,,,,,,,,,,,,
Demographic and Income Profile,,,,,,,,,,,,,,,,,,,,,,
Prepared by Esri,,,,,,,,,,,,,,,,,,,,,,
"4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (0 - 2 mile, 2 - 5 mile, 5 - 8 mile)",,,,,,,,,,,,,,,,,,,,,,
"4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (0 - 2 mile), 4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (2 - 5 mile), 4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (5 - 8 mile)",,,,,,,,,,,,,,,,,,,,,,
"Ring band: 0 - 2 mile radius, Ring band: 2 - 5 mile radius, Ring band: 5 - 8 mile radius",,,,,,,,,,,,,,,,,,,,,,
Latitude: 33.80944,,,,,,,,,,,,,,,,,,,,,,
Longitude: -84.24048,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0 - 2 mile,,,,,2 - 5 mile,,,,,5 - 8 mile,,,,,,,,,,,,
Summary,Census 2020,2025,2030,,Summary,Census 2020,2025,2030,,Summary,Census 2020,2025,2030,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Total Population,"58,856","59,183","58,734",,Total Population,"214,533","221,054","223,839",,Total Population,"446,619","455,519","462,606",,,,,,,,,
Total Households,"21,286","21,387","21,246",,Total Households,"87,491","90,300","91,793",,Total Households,"185,399","191,608","196,025",,,,,,,,,
Family Households,"13,299","12,925","12,719",,Family Households,"49,783","49,332","49,520",,Family Households,"99,742","98,880","99,895",,,,,,,,,
Average Household Size,2.76,2.76,2.76,,Average Household Size,2.38,2.37,2.36,,Average Household Size,2.38,2.35,2.33,,,,,,,,,
Owner Occupied Housing Units,"8,621","9,487","9,861",,Owner Occupied Housing Units,"45,010","47,980","49,245",,Owner Occupied Housing Units,"89,065","96,237","99,830",,,,,,,,,
Renter Occupied Housing Units,"12,665","11,900","11,386",,Renter Occupied Housing Units,"42,481","42,320","42,547",,Renter Occupied Housing Units,"96,334","95,371","96,195",,,,,,,,,
Median Age,33.0,33.8,34.4,,Median Age,37.0,38.0,39.3,,Median Age,34.6,35.7,36.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0 - 2 mile,,,,,2 - 5 mile,,,,,5 - 8 mile,,,,,,,,,,,,
Trends 2025 - 2030,Area,State,National,,Trends 2025 - 2030,Area,State,National,,Trends 2025 - 2030,Area,State,National,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Population,-0.2%,0.7%,0.4%,,Population,0.3%,0.7%,0.4%,,Population,0.3%,0.7%,0.4%,,,,,,,,,
Households,-0.1%,0.8%,0.6%,,Households,0.3%,0.8%,0.6%,,Households,0.5%,0.8%,0.6%,,,,,,,,,
Family Population,-0.3%,0.7%,0.5%,,Family Population,0.1%,0.7%,0.5%,,Family Population,0.2%,0.7%,0.5%,,,,,,,,,
