Sector,2020,2030,2040
Total Employment,377061,422420,439430
Health Care & Social Assistance,51473,61944,68546
Educational Services,40985,46744,48797
Retail Trade,40740,39718,39624
Administrative & Waste Management,29178,34092,36326
"Professional, Scientific & Tech Services",28630,33373,35889
Public Administration,27446,29411,30152
Accommodation & Food Services,26423,30965,31190
Finance & Insurance,17896,18375,18615
Information,16520,17240,16971
Manufacturing,16265,16401,16075
Other Services,15654,19273,18555
Construction,14815,18237,19889
Wholesale Trade,14632,15798,16588
Transportation & Warehousing,12815,15587,16704
"Real Estate, Rental & Leasing",11648,12055,11785
Management of Companies,7256,7935,8491
"Arts, Entertainment & Recreation",3743,4392,4467
Utilities,851,788,670
"Agriculture, Forestry, Fishing & Hunting",62,55,52
"Mining, Quarrying, Oil & Gas",30,37,44
