,Variable,2025 2m,2025 5m,2025 8m,2026 2m,2026 5m,2026 8m,2027 2m,2027 5m,2027 8m,2028 2m,2028 5m,2028 8m,2029 2m,2029 5m,2029 8m,2030 2m,2030 5m,2030 8m
6,TOTAL HH (Base) | 75+,"1,530","10,892","26,420","1,600","11,404","27,679","1,671","11,916","28,937","1,741","12,427","30,196","1,812","12,939","31,454","1,882","13,451","32,713"
16,<$15000 | 75+,186,"1,309","3,456",195,"1,353","3,567",204,"1,397","3,678",214,"1,442","3,789",223,"1,486","3,900",232,"1,530","4,011"
24,$15K-24999 | 75+,225,"1,438","3,401",225,"1,442","3,413",226,"1,446","3,425",226,"1,450","3,436",227,"1,454","3,448",227,"1,458","3,460"
32,$25K-34999 | 75+,153,"1,140","2,683",154,"1,150","2,709",155,"1,159","2,735",157,"1,169","2,761",158,"1,178","2,787",159,"1,188","2,813"
40,$35K-49999 | 75+,249,"1,500","3,554",253,"1,529","3,619",256,"1,557","3,685",260,"1,586","3,750",263,"1,614","3,816",267,"1,643","3,881"
48,$50K-74999 | 75+,251,"1,754","4,158",263,"1,807","4,300",276,"1,860","4,443",288,"1,913","4,585",301,"1,966","4,728",313,"2,019","4,870"
56,$75K-99999 | 75+,152,"1,052","2,448",159,"1,091","2,560",166,"1,129","2,672",174,"1,168","2,783",181,"1,206","2,895",188,"1,245","3,007"
64,100K-149999 | 75+,141,"1,182","2,965",155,"1,278","3,207",168,"1,374","3,450",182,"1,471","3,692",195,"1,567","3,935",209,"1,663","4,177"
72,150K-199999 | 75+,60,574,"1,488",68,645,"1,660",76,716,"1,833",84,787,"2,005",92,858,"2,178",100,929,"2,350"
80,$200000+ | 75+,114,945,"2,271",129,"1,111","2,646",143,"1,277","3,020",158,"1,444","3,395",172,"1,610","3,769",187,"1,776","4,144"
