Radius,2 Mile Radius,2 Mile Radius,2 Mile Radius,5 Mile Radius,5 Mile Radius,5 Mile Radius
Building Class,A,B,C,A,B,C
Metric,,,,,,
% 1-Bed,0.501,0.3908,0.3581,0.5103,0.4693,0.4623
% 2-Bed,0.4365,0.5195,0.6872,0.4127,0.5214,0.6971
% 3-Bed,0.125,0.3055,0.2514,0.1251,0.285,0.3744
% 4-Bed,,0.0999,0.0679,1.0,0.2388,0.6461
% Studios,,0.3241,0.1415,0.099,0.2884,0.3627
Avg Asking/SF,2,1,1,2,2,1
Avg Asking/Unit,"2,090","1,252","1,164","1,873","1,498","1,281"
Avg Unit SF,982,"1,031",976,947,"1,074",950
Four Bedroom Asking Rent/SF,,1,1,,1,1
Four Bedroom Asking Rent/Unit,,"1,724","2,079",,"2,267","2,264"
Four Bedroom Avg SF,,"1,644","1,925",,"1,828","1,765"
Four Bedroom Effective Rent/SF,,1,1,,1,1
Four Bedroom Effective Rent/Unit,,"1,652","2,058",,"2,210","2,245"
Four Bedroom Vacancy %,,0.1595,0.12,,0.0997,0.065
Four Bedroom Vacant Units,0,58,3,0,66,6
Number Of 1 Bedroom Units,318,"1,188","1,475","5,277","8,920","5,728"
Number Of 2 Bedroom Units,312,"2,364","3,508","4,271","11,057","10,270"
Number Of 3 Bedroom Units,54,861,"1,024",645,"2,710","2,606"
Number Of 4 Bedroom Units,0,151,25,0,262,110
Number Of Parking Spaces,400,"6,876","11,059","9,592","36,917","27,759"
One Bedroom Asking Rent/SF,2,1,1,2,2,2
One Bedroom Asking Rent/Unit,"1,831","1,083","1,020","1,633","1,281","1,106"
One Bedroom Avg SF,816,776,734,782,782,729
One Bedroom Effective Rent/SF,2,1,1,2,2,2
One Bedroom Effective Rent/Unit,"1,809","1,064","1,004","1,592","1,254","1,090"
One Bedroom Vacancy %,0.0312,0.1146,0.1304,0.0863,0.1101,0.1097
Studio Asking Rent/SF,,2,1,3,2,2
Studio Asking Rent/Unit,,911,762,"1,533","1,280",921
Studio Avg SF,,583,537,586,565,502
Studio Effective Rent/SF,,2,1,3,2,2
Studio Effective Rent/Unit,,904,757,"1,485","1,253",911
Studio Vacancy %,,0.0206,0.121,0.0725,0.0467,0.0933
Three Bedroom Asking Rent/SF,1,1,1,2,1,1
Three Bedroom Asking Rent/Unit,"1,697","1,549","1,440","2,684","1,923","1,625"
Three Bedroom Avg SF,"1,415","1,363","1,316","1,424","1,445","1,318"
Three Bedroom Effective Rent/SF,1,1,1,2,1,1
Three Bedroom Effective Rent/Unit,"1,640","1,523","1,418","2,595","1,882","1,601"
Three Bedroom Vacancy %,0.0605,0.1184,0.1709,0.0937,0.1072,0.108
Two Bedroom Asking Rent/SF,2,1,1,2,1,1
Two Bedroom Asking Rent/Unit,"2,312","1,284","1,184","2,140","1,581","1,305"
Two Bedroom Avg SF,"1,112","1,097","1,035","1,127","1,129","1,002"
Two Bedroom Effective Rent/SF,2,1,1,2,1,1
Two Bedroom Effective Rent/Unit,"2,285","1,264","1,168","2,080","1,549","1,285"
Two Bedroom Vacancy %,0.0367,0.115,0.1023,0.0896,0.1136,0.0961
Vacancy %,0.0393,0.1403,0.1308,0.0886,0.1206,0.1289
