Category,Line Item,0-2m_Current,0-2m_Future,2-3m_Current,2-3m_Future,3-5m_Current,3-5m_Future
Apparel and Services,Men's,9227748.0,10434001.0,10859665.0,12639777.0,38956403.0,44309429.0
Apparel and Services,Women's,15620036.0,17663057.0,19002977.0,22098818.0,68040660.0,77391529.0
Apparel and Services,Children's,6836102.0,7730068.0,7571395.0,8811384.0,26599408.0,30241013.0
Apparel and Services,Footwear,10791770.0,12204167.0,12261767.0,14292310.0,43481923.0,49465745.0
Apparel and Services,Watches & Jewelry,3632395.0,4106686.0,4521755.0,5254969.0,16563669.0,18857199.0
Apparel and Services,Apparel Products and Services (1),860800.0,973006.0,1020230.0,1186723.0,3738417.0,4253312.0
Computer,Computers and Hardware for Home Use,4381080.0,4954698.0,5197343.0,6052767.0,18525189.0,21075426.0
Computer,Portable Memory,74237.0,84023.0,90168.0,105216.0,313953.0,357350.0
Computer,Computer Software,342604.0,387772.0,409561.0,478629.0,1412563.0,1608321.0
Computer,Computer Accessories,371775.0,420402.0,441495.0,514597.0,1588104.0,1808170.0
Education,Educational Books/Supplies/Other Expenditures,1868193.0,2113744.0,2198872.0,2565193.0,7758436.0,8821751.0
Education,Other School Supplies,1619410.0,1831078.0,1934637.0,2249942.0,6969609.0,7925570.0
Entertainment & Recreation,Membership Fees for Clubs (2),5426940.0,6132727.0,6697423.0,7768382.0,25180646.0,28646525.0
Entertainment & Recreation,"Fees for Participant Sports, excl. Trips",2865919.0,3238449.0,3471779.0,4022092.0,12973452.0,14751593.0
Entertainment & Recreation,Tickets to Theatre/Operas/Concerts,1993271.0,2252489.0,2405007.0,2795683.0,9033021.0,10284099.0
Entertainment & Recreation,Tickets to Movies,741359.0,838526.0,851784.0,994018.0,3034334.0,3453364.0
Entertainment & Recreation,Tickets to Parks or Museums,742915.0,839396.0,854895.0,992965.0,3184981.0,3625803.0
Entertainment & Recreation,"Admission to Sporting Events, excl. Trips",1616278.0,1827030.0,1955861.0,2268234.0,7189623.0,8168639.0
Entertainment & Recreation,Fees for Recreational Lessons,2812253.0,3175742.0,3318640.0,3842401.0,12866504.0,14647111.0
Entertainment & Recreation,Dating Services,27060.0,30610.0,33094.0,38785.0,113777.0,129846.0
Entertainment & Recreation,Cable and Satellite Television Services,11203158.0,12658651.0,13597459.0,15773029.0,49971954.0,56800909.0
Entertainment & Recreation,Televisions,2346216.0,2653537.0,2728944.0,3177859.0,9639970.0,10961342.0
Entertainment & Recreation,Satellite Dishes,22388.0,25308.0,26669.0,31139.0,96241.0,109590.0
Entertainment & Recreation,"VCRs, Video Cameras, and DVD Players",75987.0,85934.0,90015.0,104706.0,319785.0,363413.0
Entertainment & Recreation,Miscellaneous Video Equipment,920109.0,1041188.0,864951.0,1015939.0,2821331.0,3199887.0
Entertainment & Recreation,Video Cassettes and DVDs,82128.0,92835.0,101059.0,117983.0,369096.0,420894.0
Entertainment & Recreation,Video Game Hardware/Accessories,1010688.0,1144341.0,1166447.0,1365049.0,3971064.0,4516613.0
Entertainment & Recreation,Video Game Software,503729.0,570457.0,601031.0,705355.0,2052063.0,2337431.0
Entertainment & Recreation,Rental/Streaming/Downloaded Video,3864302.0,4372376.0,4496575.0,5247033.0,15740940.0,17902077.0
Entertainment & Recreation,Installation of Televisions,24204.0,27323.0,30669.0,35412.0,119002.0,135496.0
